State, ID, Code, County, H1
IL,17,001,Adams,H1
IL,17,003,Alexander,H1
IL,17,005,Bond,H1
IL,17,007,Boone,H1
IL,17,009,Brown,H1
IL,17,011,Bureau,H1
IL,17,013,Calhoun,H1
IL,17,015,Carroll,H1
IL,17,017,Cass,H1
IL,17,019,Champaign,H1
IL,17,021,Christian,H1
IL,17,023,Clark,H1
IL,17,025,Clay,H1
IL,17,027,Clinton,H1
IL,17,029,Coles,H1
IL,17,031,Cook,H1
IL,17,033,Crawford,H1
IL,17,035,Cumberland,H1
IL,17,037,DeKalb,H1
IL,17,039,De Witt,H1
IL,17,041,Douglas,H1
IL,17,043,DuPage,H1
IL,17,045,Edgar,H1
IL,17,047,Edwards,H1
IL,17,049,Effingham,H1
IL,17,051,Fayette,H1
IL,17,053,Ford,H1
IL,17,055,Franklin,H1
IL,17,057,Fulton,H1
IL,17,059,Gallatin,H1
IL,17,061,Greene,H1
IL,17,063,Grundy,H1
IL,17,065,Hamilton,H1
IL,17,067,Hancock,H1
IL,17,069,Hardin,H1
IL,17,071,Henderson,H1
IL,17,073,Henry,H1
IL,17,075,Iroquois,H1
IL,17,077,Jackson,H1
IL,17,079,Jasper,H1
IL,17,081,Jefferson,H1
IL,17,083,Jersey,H1
IL,17,085,Jo Daviess,H1
IL,17,087,Johnson,H1
IL,17,089,Kane,H1
IL,17,091,Kankakee,H1
IL,17,093,Kendall,H1
IL,17,095,Knox,H1
IL,17,097,Lake,H1
IL,17,099,LaSalle,H1
IL,17,101,Lawrence,H1
IL,17,103,Lee,H1
IL,17,105,Livingston,H1
IL,17,107,Logan,H1
IL,17,109,McDonough,H1
IL,17,111,McHenry,H1
IL,17,113,McLean,H1
IL,17,115,Macon,H1
IL,17,117,Macoupin,H1
IL,17,119,Madison,H1
IL,17,121,Marion,H1
IL,17,123,Marshall,H1
IL,17,125,Mason,H1
IL,17,127,Massac,H1
IL,17,129,Menard,H1
IL,17,131,Mercer,H1
IL,17,133,Monroe,H1
IL,17,135,Montgomery,H1
IL,17,137,Morgan,H1
IL,17,139,Moultrie,H1
IL,17,141,Ogle,H1
IL,17,143,Peoria,H1
IL,17,145,Perry,H1
IL,17,147,Piatt,H1
IL,17,149,Pike,H1
IL,17,151,Pope,H1
IL,17,153,Pulaski,H1
IL,17,155,Putnam,H1
IL,17,157,Randolph,H1
IL,17,159,Richland,H1
IL,17,161,Rock Island,H1
IL,17,163,St. Clair,H1
IL,17,165,Saline,H1
IL,17,167,Sangamon,H1
IL,17,169,Schuyler,H1
IL,17,171,Scott,H1
IL,17,173,Shelby,H1
IL,17,175,Stark,H1
IL,17,177,Stephenson,H1
IL,17,179,Tazewell,H1
IL,17,181,Union,H1
IL,17,183,Vermilion,H1
IL,17,185,Wabash,H1
IL,17,187,Warren,H1
IL,17,189,Washington,H1
IL,17,191,Wayne,H1
IL,17,193,White,H1
IL,17,195,Whiteside,H1
IL,17,197,Will,H1
IL,17,199,Williamson,H1
IL,17,201,Winnebago,H1
IL,17,203,Woodford,H1
